DATE,PCU325312325312A
2009-12-01,100.0
2010-01-01,103.1
2010-02-01,112.5
2010-03-01,123.8
2010-04-01,126.4
2010-05-01,131.5
2010-06-01,127.5
2010-07-01,128.2
2010-08-01,129.3
2010-09-01,135.4
2010-10-01,140.7
2010-11-01,148.7
2010-12-01,153.4
2011-01-01,194.9
2011-02-01,167.8
2011-03-01,179.9
2011-04-01,187.8
2011-05-01,180.2
2011-06-01,174.6
2011-07-01,177.1
2011-08-01,179.2
2011-09-01,187.8
2011-10-01,192.4
2011-11-01,195.9
2011-12-01,191.3
2012-01-01,180.9
2012-02-01,179.0
2012-03-01,174.8
2012-04-01,165.5
2012-05-01,162.3
2012-06-01,161.2
2012-07-01,163.6
2012-08-01,166.2
2012-09-01,167.2
2012-10-01,170.8
2012-11-01,170.3
2012-12-01,167.9
2013-01-01,162.8
2013-02-01,160.6
2013-03-01,160.3
2013-04-01,159.0
2013-05-01,160.6
2013-06-01,158.0
2013-07-01,149.3
2013-08-01,142.3
2013-09-01,140.4
2013-10-01,133.4
2013-11-01,130.1
2013-12-01,126.3
2014-01-01,123.2
2014-02-01,131.8
2014-03-01,139.1
2014-04-01,152.5
2014-05-01,156.3
2014-06-01,149.5
2014-07-01,141.6
2014-08-01,144.0
2014-09-01,147.2
2014-10-01,149.0
2014-11-01,147.7
2014-12-01,143.3
2015-01-01,142.9
2015-02-01,146.7
2015-03-01,149.4
2015-04-01,151.2
2015-05-01,147.7
2015-06-01,148.4
2015-07-01,138.8
2015-08-01,139.3
2015-09-01,139.4
2015-10-01,137.0
2015-11-01,133.2
2015-12-01,130.5
2016-01-01,126.6
2016-02-01,118.0
2016-03-01,120.4
2016-04-01,122.5
2016-05-01,121.0
2016-06-01,119.7
2016-07-01,109.5
2016-08-01,108.2
2016-09-01,108.2
2016-10-01,109.1
2016-11-01,108.1
2016-12-01,105.0
2017-01-01,106.1
2017-02-01,106.3
2017-03-01,109.0
2017-04-01,113.7
2017-05-01,114.4
2017-06-01,111.7
2017-07-01,108.0
2017-08-01,105.9
2017-09-01,107.1
2017-10-01,107.3
2017-11-01,109.5
2017-12-01,110.3
2018-01-01,115.4
2018-02-01,121.0
2018-03-01,124.8
2018-04-01,124.7
2018-05-01,124.0
2018-06-01,125.8
2018-07-01,127.7
2018-08-01,126.1
2018-09-01,130.0
2018-10-01,133.3
2018-11-01,133.9
2018-12-01,134.2
2019-01-01,132.6
2019-02-01,131.1
2019-03-01,130.8
2019-04-01,123.7
2019-05-01,121.9
2019-06-01,118.2
2019-07-01,110.7
2019-08-01,110.4
2019-09-01,107.7
2019-10-01,101.8
2019-11-01,93.5
2019-12-01,94.5
2020-01-01,95.0
2020-02-01,94.6
2020-03-01,99.1
2020-04-01,99.2
2020-05-01,103.0
2020-06-01,103.3
2020-07-01,100.6
2020-08-01,101.7
2020-09-01,105.3
2020-10-01,109.5
2020-11-01,114.7
2020-12-01,118.0
2021-01-01,124.8
2021-02-01,133.6
2021-03-01,148.8
2021-04-01,156.9
2021-05-01,174.3
2021-06-01,181.2
2021-07-01,190.743
2021-08-01,194.310
2021-09-01,201.815
2021-10-01,207.469
2021-11-01,218.684
2021-12-01,226.583
2022-01-01,226.751
2022-02-01,226.760
2022-03-01,252.138
2022-04-01,256.027
2022-05-01,256.110
2022-06-01,237.832
2022-07-01,224.651
2022-08-01,224.651
2022-09-01,225.021
2022-10-01,224.837
2022-11-01,224.673
2022-12-01,200.018
2023-01-01,200.227
2023-02-01,197.778
2023-03-01,196.288
2023-04-01,197.402
2023-05-01,193.289
2023-06-01,189.950
2023-07-01,147.858
2023-08-01,159.351
2023-09-01,161.373
2023-10-01,170.539
2023-11-01,173.148
2023-12-01,176.787
2024-01-01,182.194
2024-02-01,187.097
2024-03-01,191.211
2024-04-01,189.374
2024-05-01,180.404
2024-06-01,181.754
2024-07-01,177.077
2024-08-01,177.190
2024-09-01,182.361
2024-10-01,183.662
